Sprache;Projekt;Komplexität;Refactoring;schwierigkeit;LLM;Iteration;Diff;Test;Refactoring-check;Gesamt;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;5;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;6;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;7;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;8;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;9;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;10;passed;passed;passed;passed;;
Apex;force-di;mittel;getter setter;mittel;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;1;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;2;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;3;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;4;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;5;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;6;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;7;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;8;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;9;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;10;passed;failed;passed;failed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;codestral-2501;Gesamt;100,00%;0,00%;100,00%;0,00%;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;1;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;2;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;3;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;4;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;5;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;6;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;7;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;8;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;9;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;10;passed;passed;passed;passed;;
Apex;apex-dml-mocking;komplex;getter setter;mittel;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Python;colorama;gering;getter setter;mittel;codestral-2501;1;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;2;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;3;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;4;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;5;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;6;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;7;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;8;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;9;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;10;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;codestral-2501;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;1;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;2;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;3;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;4;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;5;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;6;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;7;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;8;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;9;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;10;passed;passed;passed;passed;;
Python;colorama;gering;getter setter;mittel;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;1;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;2;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;3;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;4;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;5;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;6;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;7;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;8;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;9;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;10;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;codestral-2501;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;1;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;2;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;3;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;4;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;5;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;6;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;7;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;8;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;9;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;10;passed;passed;passed;passed;;
Python;pluggy;mittel;getter setter;mittel;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;1;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;2;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;3;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;4;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;5;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;6;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;7;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;8;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;9;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;10;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;codestral-2501;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;1;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;2;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;3;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;4;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;5;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;6;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;7;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;8;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;9;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;10;passed;passed;passed;passed;;
Python;pathlib2;komplex;getter setter;mittel;Gemini 3 Pro;Gesamt;100,00%;100,00%;100,00%;100,00%;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;1;passed;passed;failed;failed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;2;passed;passed;failed;failed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;3;passed;passed;passed;passed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;4;passed;passed;passed;passed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;5;failed;passed;failed;failed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;6;passed;passed;failed;failed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;7;passed;passed;passed;passed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;8;passed;passed;passed;passed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;9;passed;passed;failed;failed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;10;passed;passed;failed;failed;;
Apex;apex-utilities;gering;guard clauses;mittel;codestral-2501;Gesamt;90,00%;100,00%;40,00%;40,00%;;
Apex;apex-utilities;gering;guard clauses;mittel;Gemini 3 Pro;1;passed;passed;failed;failed;;
Apex;apex-utilities;gering;guard clauses;mittel;Gemini 3 Pro;2;passed;passed;passed;passed;;
Apex;apex-utilities;gering;guard clauses;mittel;Gemini 3 Pro;3;passed;passed;passed;passed;;
Apex;apex-utilities;gering;guard clauses;mittel;Gemini 3 Pro;4;passed;passed;passed;passed;;
